AlarmEvent,AlarmId,AlarmMsg,AlarmTime,Channel,PicInfo.ObjName,PicInfo.ObjSize,PicInfo.StorageBucket,VideoInfo.VideoLength,PicErr
VideoMotion:2,248922548,,2024-08-09 22:05:48,0,003/003_ba39b3962a4bfe81_248922548.jpeg,45972.0,OBS_sg-ai-img,,
VideoMotion:2,248922325,,2024-08-09 22:03:26,0,003/003_ba39b3962a4bfe81_248922325.jpeg,46325.0,OBS_sg-ai-img,,
VideoMotion:2,248922223,,2024-08-09 22:02:24,0,003/003_ba39b3962a4bfe81_248922223.jpeg,47318.0,OBS_sg-ai-img,,
VideoMotion:2,248922050,,2024-08-09 22:00:51,0,003/003_ba39b3962a4bfe81_248922050.jpeg,38048.0,OBS_sg-ai-img,,
VideoMotion:2,2489215823,,2024-08-09 21:58:24,0,003/003_ba39b3962a4bfe81_2489215823.jpeg,38252.0,OBS_sg-ai-img,10.0,
VideoMotion:2,240809215800,,2024-08-09 21:58:01,0,003/003_fb1f6e5c62b71703_240809215800.jpeg,23778.0,OBS_sg-ai-img,,
VideoMotion:2,2489215725,,2024-08-09 21:57:26,0,003/003_ba39b3962a4bfe81_2489215725.jpeg,44503.0,OBS_sg-ai-img,,
VideoMotion:2,248921567,,2024-08-09 21:56:07,0,003/003_ba39b3962a4bfe81_248921567.jpeg,44541.0,OBS_sg-ai-img,,
VideoMotion:2,2489215158,,2024-08-09 21:51:59,0,003/003_ba39b3962a4bfe81_2489215158.jpeg,44658.0,OBS_sg-ai-img,,
VideoMotion:2,2489215029,,2024-08-09 21:50:30,0,003/003_ba39b3962a4bfe81_2489215029.jpeg,44750.0,OBS_sg-ai-img,,
VideoMotion:2,2489214937,,2024-08-09 21:49:38,0,003/003_ba39b3962a4bfe81_2489214937.jpeg,44838.0,OBS_sg-ai-img,,
VideoMotion:2,2489214751,,2024-08-09 21:47:52,0,003/003_ba39b3962a4bfe81_2489214751.jpeg,44941.0,OBS_sg-ai-img,,
VideoMotion:2,2489214620,,2024-08-09 21:46:21,0,003/003_ba39b3962a4bfe81_2489214620.jpeg,44970.0,OBS_sg-ai-img,,
VideoMotion:2,2489214346,,2024-08-09 21:43:46,0,003/003_ba39b3962a4bfe81_2489214346.jpeg,45295.0,OBS_sg-ai-img,,
VideoMotion:2,2489214247,,2024-08-09 21:42:47,0,003/003_ba39b3962a4bfe81_2489214247.jpeg,45306.0,OBS_sg-ai-img,,
VideoMotion:2,2489214012,,2024-08-09 21:40:13,0,003/003_ba39b3962a4bfe81_2489214012.jpeg,45405.0,OBS_sg-ai-img,,
VideoMotion:2,248921374,,2024-08-09 21:37:05,0,003/003_ba39b3962a4bfe81_248921374.jpeg,45929.0,OBS_sg-ai-img,,
VideoMotion:2,2489213430,,2024-08-09 21:34:30,0,003/003_ba39b3962a4bfe81_2489213430.jpeg,46589.0,OBS_sg-ai-img,,
VideoMotion:2,2489213235,,2024-08-09 21:32:36,0,003/003_ba39b3962a4bfe81_2489213235.jpeg,49833.0,OBS_sg-ai-img,,
VideoMotion:2,2489213151,,2024-08-09 21:31:53,0,003/003_ba39b3962a4bfe81_2489213151.jpeg,46444.0,OBS_sg-ai-img,10.0,
VideoMotion:2,2489211829,,2024-08-09 21:18:30,0,003/003_ba39b3962a4bfe81_2489211829.jpeg,45713.0,OBS_sg-ai-img,,
VideoMotion:2,2489205939,,2024-08-09 20:59:39,0,003/003_ba39b3962a4bfe81_2489205939.jpeg,45042.0,OBS_sg-ai-img,,
VideoMotion:2,2489205251,,2024-08-09 20:52:52,0,003/003_ba39b3962a4bfe81_2489205251.jpeg,44876.0,OBS_sg-ai-img,,
VideoMotion:2,2489205111,,2024-08-09 20:51:12,0,003/003_ba39b3962a4bfe81_2489205111.jpeg,44765.0,OBS_sg-ai-img,,
VideoMotion:2,248920410,,2024-08-09 20:41:01,0,003/003_ba39b3962a4bfe81_248920410.jpeg,44646.0,OBS_sg-ai-img,,
VideoMotion:2,2489203719,,2024-08-09 20:37:20,0,003/003_ba39b3962a4bfe81_2489203719.jpeg,45017.0,OBS_sg-ai-img,,
VideoMotion:2,240809202506,,2024-08-09 20:25:07,0,003/003_fb1f6e5c62b71703_240809202506.jpeg,30932.0,OBS_sg-ai-img,,
VideoMotion:2,240809202035,,2024-08-09 20:20:35,0,003/003_1ce32155e73d3804_240809202035.jpeg,70769.0,VTT_camera151,,
VideoMotion:2,2489195730,,2024-08-09 19:57:30,0,003/003_ba39b3962a4bfe81_2489195730.jpeg,44829.0,OBS_sg-ai-img,,
VideoMotion:2,2489195255,,2024-08-09 19:52:56,0,003/003_ba39b3962a4bfe81_2489195255.jpeg,45210.0,OBS_sg-ai-img,,
VideoMotion:2,2489194748,,2024-08-09 19:47:49,0,003/003_ba39b3962a4bfe81_2489194748.jpeg,45827.0,OBS_sg-ai-img,,
VideoMotion:2,248919408,,2024-08-09 19:40:10,0,003/003_ba39b3962a4bfe81_248919408.jpeg,46652.0,OBS_sg-ai-img,,
VideoMotion:2,2489193625,,2024-08-09 19:36:25,0,003/003_ba39b3962a4bfe81_2489193625.jpeg,46560.0,OBS_sg-ai-img,,
VideoMotion:2,2489193625,,2024-08-09 19:36:25,0,003/003_ba39b3962a4bfe81_2489193625.jpeg,46560.0,OBS_sg-ai-img,,
VideoMotion:2,2489191610,,2024-08-09 19:16:11,0,003/003_ba39b3962a4bfe81_2489191610.jpeg,46847.0,OBS_sg-ai-img,,
VideoMotion:2,240809191418,,2024-08-09 19:14:19,0,003/003_1ce32155e73d3804_240809191418.jpeg,101931.0,VTT_camera151,,
VideoMotion:2,240809191418,,2024-08-09 19:14:19,0,003/003_1ce32155e73d3804_240809191418.jpeg,101931.0,VTT_camera151,,
VideoMotion:2,240809191349,,2024-08-09 19:13:49,0,003/003_fb1f6e5c62b71703_240809191349.jpeg,31227.0,OBS_sg-ai-img,,
VideoMotion:2,240809190822,,2024-08-09 19:08:23,0,003/003_1ce32155e73d3804_240809190822.jpeg,102127.0,VTT_camera151,,
